PId,averageAMPs_q1,averageAMPs_q2,averageAMPs_q3,averageAMPs_q4,group,hotkeysSetIntensity_q1,hotkeysSetIntensity_q2,hotkeysSetIntensity_q3,hotkeysSetIntensity_q4,hotkeysSet_q1,hotkeysSet_q2,hotkeysSet_q3,hotkeysSet_q4,hotkeysUseIntensity_q1,hotkeysUseIntensity_q2,hotkeysUseIntensity_q3,hotkeysUseIntensity_q4,hotkeysUse_q1,hotkeysUse_q2,hotkeysUse_q3,hotkeysUse_q4,lossCount,ratioWins_q1,ratioWins_q2,ratioWins_q3,ratioWins_q4,sex,totalMatches_q1,totalMatches_q2,totalMatches_q3,totalMatches_q4,totalTime_q1,totalTime_q2,totalTime_q3,totalTime_q4,trainingMatches,trainingMatchesLvl_Count_Cheater_1_Vision,trainingMatchesLvl_Count_Easy,trainingMatchesLvl_Count_Elite,trainingMatchesLvl_Count_Hard,trainingMatchesLvl_Count_Harder,trainingMatchesLvl_Count_Medium,trainingMatchesLvl_Count_Very_Easy,trainingMatchesLvl_Count_Very_Hard,trainingMatchesLvl_SQ_Cheater_1_Vision,trainingMatchesLvl_SQ_Easy,trainingMatchesLvl_SQ_Elite,trainingMatchesLvl_SQ_Hard,trainingMatchesLvl_SQ_Harder,trainingMatchesLvl_SQ_Medium,trainingMatchesLvl_SQ_Very_Easy,trainingMatchesLvl_SQ_Very_Hard,trainingMatchesLvl_Time_Cheater_1_Vision,trainingMatchesLvl_Time_Easy,trainingMatchesLvl_Time_Elite,trainingMatchesLvl_Time_Hard,trainingMatchesLvl_Time_Harder,trainingMatchesLvl_Time_Medium,trainingMatchesLvl_Time_Very_Easy,trainingMatchesLvl_Time_Very_Hard,trainingTime,winCount,winsRatio
339,19.560320002158903,27.541503907986147,42.26530855786238,52.401319932267654,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0.7222222222222222,0.6470588235294118,0.5333333333333333,0.5882352941176471,2,18,17,15,17,25916,25652,26448,23453,67,,13,,23,1,23,7,,,74.71908800691838,,58.281031071141854,47.12651617680589,47.62207324061802,49.00154876880947,,,17996,,34625,1098,37813,9937,,101469,42,0.6268656716417911
338,51.84788367691513,39.11144333849849,35.45727818454846,33.14625130462847,1,0.0033225187880850295,0.002254463148155858,0.0024756337230539822,0.002492968807128736,7.2,3.55,3.7142857142857144,3.4210526315789473,0.01862032440117169,0.019758038602881074,0.03294139680259594,0.03634062995271829,41.46666666666667,33.3,51.0,56.578947368421055,33,0.6,0.55,0.5238095238095238,0.5789473684210527,2,15,20,21,19,23344,23094,23291,20130,75,,20,,5,,44,6,,,67.030999806545,,96.3682942458083,,86.10328625501828,41.5096746845241,,,26530,,4638,,48359,10332,,89859,42,0.56
335,16.809470604373345,21.275680176125135,18.617139562209758,31.84767760093479,1,0.002480553745757628,0.00022280854925109782,0.0,0.0015282657067532785,4.576923076923077,0.5238095238095238,0.0,3.2941176470588234,0.0010735066191749126,0.00019729414393968906,0.0,0.0060199836908495855,1.8846153846153846,0.47619047619047616,0.0,12.941176470588236,35,0.6538461538461539,0.5714285714285714,0.47619047619047616,0.6470588235294118,2,26,21,21,17,32536,32974,32885,30138,85,,17,,20,,41,7,,,39.66146680429409,,49.06272185094892,,39.30406045905161,38.39553389562769,,,23851,,32007,,63909,8766,,128533,50,0.5882352941176471
334,21.412105152333385,23.7737551683912,24.51440234019216,24.672535687398863,2,0.0027853195561224906,0.0014960490484996877,0.0019013246640677845,0.0015303586397966082,4.076923076923077,2.9545454545454546,3.0,2.888888888888889,0.009698999885236762,0.008746042440039882,0.011428101304639275,0.008180912515295577,16.23076923076923,17.727272727272727,18.6,17.77777777777778,39,0.7307692307692307,0.5454545454545454,0.48,0.5,1,26,22,25,18,29173,29565,28908,26131,91,,5,,48,1,32,5,,,53.946225355546034,,64.9178416085106,72.56193372423604,62.75720989084809,63.344978143169556,,,4246,,63909,1761,39598,4263,,113777,52,0.5714285714285714
336,23.02997471652938,33.43648037871499,34.502666452229924,37.54812839788856,2,0.010072338145926066,0.012790083443995858,0.016949397340408467,0.016692210293468478,19.9,22.5,32.142857142857146,32.05,0.01388102483437002,0.021268455646729193,0.011549177538435347,0.015231065243156186,28.15,39.0,22.333333333333332,31.1,36,0.7,0.5,0.5714285714285714,0.5,2,20,22,21,20,28142,27821,28374,26425,83,,12,,18,1,46,6,,,66.79900568674705,,98.7061220995563,88.48782534349482,83.01877674322202,38.909866700313586,,,15139,,23642,431,64102,7448,,110762,47,0.5662650602409639
330,19.075680363009294,20.801267383840706,18.560847353258616,19.937204594109463,2,0.01108873685639716,0.013115754454765705,0.006760656175213288,0.005330236767332556,24.375,17.04,6.857142857142857,5.9,0.014534380232597727,0.011731166769623703,0.005794298899990384,0.006239290573934433,34.5625,16.24,5.685714285714286,6.833333333333333,49,0.625,0.6,0.4857142857142857,0.5,2,16,25,35,30,24753,24828,24963,24084,106,,62,,,,23,21,,,67.33573413096303,,,,83.76095310009137,42.441389248959695,,,56089,,,,18063,24476,,98628,57,0.5377358490566038
332,36.70254179878841,34.18541320300188,41.167921788100074,46.95023356505873,1,0.0055562517358144,0.006534580374813331,0.00664326524682167,0.007998016022802576,8.789473684210526,8.909090909090908,8.909090909090908,10.523809523809524,0.012721030672354264,0.014802725590310357,0.01663688925639625,0.02264107390263658,21.63157894736842,22.59090909090909,24.227272727272727,30.761904761904763,39,0.6842105263157895,0.45454545454545453,0.45454545454545453,0.5714285714285714,1,19,22,22,21,22382,23007,22236,20021,84,,2,,7,50,2,2,21,,91.00181065588072,,70.65498012173413,94.2508540005984,76.23814000770611,49.803599148187544,99.01429804802623,,1577,,9741,55977,1733,1781,16837,87646,45,0.5357142857142857
344,20.088488899491303,25.729302265044954,28.47492067707143,28.88380046661204,1,0.004156400907418014,0.005836177034945063,0.006094297688279444,0.004592183923112871,6.818181818181818,10.4,10.6,9.375,0.010492006694852283,0.017679124648602038,0.0228682359011438,0.02741076808567735,19.181818181818183,34.65,43.6,59.125,33,0.7727272727272727,0.45,0.45,0.625,1,22,20,20,16,26311,26686,26105,24848,78,,4,,44,9,16,5,,,83.31422417494358,,82.67219182258879,79.60633202594948,78.99554552081372,70.91865847515754,,,3904,,61867,12708,20253,5218,,103950,45,0.5769230769230769
345,27.995638198368685,31.42624136022486,31.11076538547301,31.511934689302144,1,0.006880512934452495,0.007857672413646972,0.007619578345898598,0.007970835148735384,8.580645161290322,11.25925925925926,12.91304347826087,11.478260869565217,0.009834374638212844,0.030091661889104233,0.039814270285222976,0.04275614968613675,13.0,41.81481481481482,68.47826086956522,63.608695652173914,37,0.8387096774193549,0.48148148148148145,0.6086956521739131,0.6086956521739131,1,31,27,23,23,28376,27928,28826,24665,104,5,4,16,4,23,4,5,43,103.57554339510193,93.26288965578578,96.15240002700773,86.72572797830591,93.32827127104514,88.71536015370293,84.74485872205113,95.46632735445607,5150,2281,19135,5130,25599,3573,3590,45337,109795,67,0.6442307692307693
346,16.686199083779574,19.28125183745879,23.30478892767025,25.464786491316104,1,0.00522216759638903,0.004493218553342184,0.00572339642606368,0.004413624883493325,8.26086956521739,6.538461538461538,9.19047619047619,7.666666666666667,0.016794465025010225,0.020109694835136558,0.028410133813826517,0.03653760084897523,26.434782608695652,31.076923076923077,51.095238095238095,68.05555555555556,38,0.7391304347826086,0.46153846153846156,0.5238095238095238,0.5555555555555556,2,23,26,21,18,25946,26357,26193,22939,88,,4,,35,,43,6,,,54.805771197809435,,73.79837285055916,,72.4005816137898,38.79709075117847,,,3906,,44016,,45723,7790,,101435,50,0.5681818181818182
347,20.230631788344517,22.158715889694093,22.039997836386593,24.235477450326407,1,0.002575397098176737,0.0031841811632308758,0.0031270003802601042,0.002515346344333055,4.333333333333333,4.833333333333333,4.916666666666667,4.611111111111111,0.01635681137745391,0.018725981010653106,0.01671009292358252,0.019864309420966293,29.428571428571427,29.291666666666668,27.083333333333332,41.05555555555556,35,0.8095238095238095,0.4583333333333333,0.5416666666666666,0.6111111111111112,2,21,24,24,18,26862,27493,27533,25360,87,,5,,40,1,36,5,,,66.47323326902756,,65.80027019595116,62.74610422260662,66.31716318587044,45.414366527241015,,,6181,,53368,953,40043,6703,,107248,52,0.5977011494252874
341,20.076776986440695,20.89353017921903,19.269343129811308,19.80949469886884,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,0.8,0.42105263157894735,0.2857142857142857,0.9090909090909091,2,25,19,14,11,27127,27304,28414,22130,69,,4,,42,4,10,9,,,84.11275478264025,,49.48741130835708,55.279860375914666,60.948472900214114,59.07951686254296,,,2936,,71518,7426,12285,10810,,104975,42,0.6086956521739131
342,19.64397068448151,23.062833468232085,23.350379350296887,24.773743272429268,1,0.0006603072226379992,0.0,0.0,0.0,1.1304347826086956,0.0,0.0,0.0,0.0004771362643129426,0.0,0.0,0.0,0.782608695652174,0.0,0.0,0.0,33,0.7391304347826086,0.5909090909090909,0.45454545454545453,0.625,2,23,22,22,16,26464,26885,26500,25218,83,,5,,23,,49,6,,,70.3094103894162,,62.01814966264524,,55.699386888802564,60.03250000962319,,,4710,,31372,,62998,5987,,105067,50,0.6024096385542169
343,18.712869151135216,27.419482324905992,33.48487863354314,24.20760728498088,1,0.002675007074304188,0.002839464523336674,0.004393242043388589,0.003949543540647713,4.043478260869565,4.3478260869565215,5.814814814814815,6.45,0.020967687704980722,0.027496680961441332,0.03124101898773773,0.030389099152205994,33.17391304347826,43.95652173913044,42.74074074074074,52.55,40,0.7391304347826086,0.391304347826087,0.5925925925925926,0.55,2,23,23,27,20,27138,26094,26156,24655,93,,17,,23,,47,6,,,67.68003777809776,,94.33892441818566,,90.26876347415936,33.85143126457393,,,18039,,26471,,51395,8138,,104043,53,0.5698924731182796
349,14.514229120927508,21.052035614921945,24.797493957028852,20.92046506420633,1,0.0019402873005695182,0.001064981400214428,0.0016898714363123633,0.0017901345897544626,5.071428571428571,1.8636363636363635,3.263157894736842,3.3157894736842106,0.0033564446755159727,0.002948384821827149,0.002410396396686815,0.0022696062279345054,12.857142857142858,5.454545454545454,5.2105263157894735,3.789473684210526,35,0.7142857142857143,0.5,0.47368421052631576,0.47368421052631576,2,14,22,19,19,28313,28145,28044,23560,74,,23,,1,,42,8,,,46.65562667208752,,57.84031930649073,,60.4318477865516,-0.3075576214289413,,,29950,,960,,58545,18607,,108062,39,0.527027027027027
368,17.755207379039458,20.547697746192604,23.434296547859883,25.562826883563798,2,0.00445668839462923,0.004994344705603974,0.006345070812036783,0.0054279799793135255,6.869565217391305,6.5,7.448275862068965,7.111111111111111,0.011999130879286982,0.012220198309918847,0.01554796010641456,0.01987408406007772,19.47826086956522,16.846153846153847,20.344827586206897,27.40740740740741,44,0.782608695652174,0.5384615384615384,0.5517241379310345,0.48148148148148145,2,23,26,29,27,26733,26848,27001,26226,105,,4,,27,45,15,5,9,,54.79883806390478,,70.7077960520084,83.71050255824343,74.05478077143573,29.147959813256904,93.36715344540193,,4411,,28443,45422,15065,7140,6327,106808,61,0.580952380952381
364,15.41631317780514,18.720359183420197,21.48417670012472,23.413645118104125,1,0.006947072772253246,0.005813265965356781,0.005302365690898129,0.008151148199421648,14.5,15.066666666666666,16.25,19.25,0.013775894086596676,0.01745175900688473,0.032925936746207383,0.036674459021103785,28.88888888888889,51.6,105.83333333333333,97.58333333333333,23,0.7222222222222222,0.5333333333333333,0.6666666666666666,0.4166666666666667,2,18,15,12,12,27083,28594,27798,20733,57,,16,,8,,28,5,,,82.84052835488919,,72.64542262589589,,44.611958678401976,39.51691274368889,,,18287,,10670,,68005,7246,,104208,34,0.5964912280701754
365,18.03522237503303,18.088399849979368,18.63919413250447,20.457322763249643,1,0.003104025025375607,0.0025709922625933735,0.0026073142404362737,0.0025912856948697147,5.619047619047619,5.333333333333333,6.1875,5.714285714285714,0.0075863231183032846,0.004616882111406215,0.0034217024814200787,0.0034342097634919183,13.666666666666666,10.88888888888889,9.25,8.928571428571429,28,0.7142857142857143,0.5555555555555556,0.4375,0.6428571428571429,2,21,18,16,14,27482,28083,28206,24582,69,,14,,5,,44,6,,,64.35966364222054,,72.018536810662,,52.80262755090109,61.977352088965375,,,19201,,5571,,77324,6257,,108353,41,0.5942028985507246
370,23.407828274602213,27.78133356020076,31.17008421006749,32.622081839790894,2,0.004191832564366835,0.0062771695683843005,0.004617365630948598,0.005092193355940263,5.2,8.25925925925926,8.105263157894736,6.956521739130435,0.013632448154938295,0.014689709803476338,0.018374045488460805,0.021121671556601263,19.666666666666668,21.88888888888889,37.578947368421055,33.34782608695652,41,0.7666666666666667,0.4444444444444444,0.5263157894736842,0.5652173913043478,1,30,27,19,23,26465,27910,26603,24318,99,,5,,38,17,33,6,,,71.00728908514125,,71.03109906070313,74.71680054210483,66.90793575711359,71.34133134373639,,,3400,,42870,18418,36596,4012,,105296,58,0.5858585858585859
319,13.588363671881023,16.210484142718567,18.049961600319445,21.17097162113715,2,0.003501392617941356,0.0019382090437208954,0.0021283552285526457,0.002139780968505001,7.277777777777778,3.6,3.5,3.526315789473684,0.00810293934127762,0.01795662406101326,0.012523731808358229,0.012759748122640415,20.055555555555557,34.6,23.227272727272727,25.63157894736842,35,0.7222222222222222,0.5,0.5454545454545454,0.47368421052631576,2,18,20,22,19,27726,28108,27665,24419,79,,39,,,,35,5,,,53.96593995219163,,,,59.793885578693505,44.26258685174821,,,56179,,,,44266,7473,,107918,44,0.5569620253164557
318,19.289445807139163,21.921644755920447,24.730941251990593,25.33226634441081,2,0.004341372216226307,0.004526890207306682,0.0033771726095142176,0.002952013774241652,6.6,6.222222222222222,5.565217391304348,4.545454545454546,0.009537575207305036,0.011274742885422951,0.012760507979028777,0.013663874208425447,14.44,15.814814814814815,21.130434782608695,22.227272727272727,37,0.84,0.5555555555555556,0.4782608695652174,0.5909090909090909,1,25,27,23,22,26798,26231,26245,23977,97,,4,,10,49,5,5,24,,71.9839546963401,,74.15664282147642,81.3841952987363,66.21545547012329,66.20981958965154,82.9410220721619,,3946,,10474,52804,6181,5141,24705,103251,60,0.6185567010309279
312,25.254183256577505,26.414715536682777,30.226797927311402,26.21134861113209,2,0.006986044863320976,0.003727170322293195,0.005027971260360187,0.004527598789633959,10.115384615384615,5.074074074074074,5.709677419354839,3.4583333333333335,0.025179208286570928,0.01101636098544351,0.009757352891408482,0.006593398114695881,34.42307692307692,16.37037037037037,12.35483870967742,5.75,44,0.7307692307692307,0.5925925925925926,0.5161290322580645,0.7708333333333334,1,26,27,31,48,25647,25366,25584,23874,132,14,5,10,9,32,15,5,24,75.36329775985558,75.2938161912436,80.33267418217352,73.52887441371843,80.501101302942,56.82953996639213,50.3602176271672,87.7054619774265,8114,4004,3630,8342,29826,15633,5259,15680,100471,88,0.6666666666666666
310,49.841739169512664,54.80935659519138,62.316959749099176,68.2882508719513,2,0.002184162100751879,0.0017873560007943205,0.0018231410233314831,0.001705958895009612,2.6129032258064515,1.9,1.488888888888889,1.55,0.0020900286596584614,0.0019247889387678057,0.005843824178139755,0.013844558402137521,2.5161290322580645,2.1,4.688888888888889,12.5,43,0.8387096774193549,0.4666666666666667,0.7555555555555555,0.725,2,31,30,45,40,27393,28190,27405,26237,146,62,4,4,4,31,4,5,32,86.17475132666914,76.59852818900973,105.76993834025487,95.5175210983787,82.76674560393695,86.6966590533516,75.57902523384624,79.63013805547345,38589,3680,1927,3683,26769,2998,4277,27302,109225,103,0.7054794520547946
317,17.96495145266936,21.466908642831623,24.383901011138175,23.325012623139123,2,0.00791982458756695,0.0040918158789263965,0.003014746138184228,0.0029335825130924354,12.73076923076923,7.142857142857143,5.318181818181818,5.666666666666667,0.015141073517853555,0.016940500727116323,0.015867547867396394,0.017106109101826448,25.923076923076923,34.19047619047619,32.0,37.05555555555556,39,0.7307692307692307,0.42857142857142855,0.5454545454545454,0.4444444444444444,2,26,21,22,18,29950,28778,29332,26528,87,,4,,32,,41,10,,,75.86149079291042,,74.85939047007719,,71.28222124128811,60.82899132761597,,,4784,,42297,,56317,11190,,114588,48,0.5517241379310345
316,15.727908750661946,18.077366117531,20.125602260186447,19.943674154408168,2,0.0018311482928930981,0.0020419513708372136,0.0020871045291458038,0.002213069742414656,3.4285714285714284,3.7142857142857144,3.5714285714285716,3.3636363636363638,0.005866585923123706,0.008205897702261319,0.00870151139799874,0.01009496357507357,11.380952380952381,16.428571428571427,18.19047619047619,18.09090909090909,37,0.6666666666666666,0.5238095238095238,0.47619047619047616,0.5909090909090909,2,21,21,21,22,28101,27706,27141,24804,85,,23,,11,,43,8,,,58.016646342288624,,71.46491870157374,,69.05226208806101,29.56010283771721,,,28642,,13319,,55398,10393,,107752,48,0.5647058823529412
315,17.170750896145364,21.295083289639752,24.95492460308493,27.35368210562371,2,0.0009414292080630733,0.0014488498508124917,0.0029124248002085616,0.0023357633174375457,1.3666666666666667,2.857142857142857,5.2,3.9523809523809526,0.0007418770791021936,0.0030288251145927925,0.010128513136983326,0.016752909502772226,1.0333333333333334,7.666666666666667,18.68,29.80952380952381,43,0.6666666666666666,0.6190476190476191,0.48,0.42857142857142855,1,30,21,25,21,28631,28915,29839,25741,97,,10,,44,,38,5,,,61.55627585819428,,75.97503803873346,,72.03216940238758,48.916259284419795,,,8692,,56024,,44355,4055,,113126,54,0.5567010309278351
314,25.540164778666764,25.65960975795348,28.570383000652413,31.563178638197474,2,0.0014162238391342728,0.0020822919119803792,0.002316938474888359,0.0018412283946438815,2.5,4.705882352941177,4.0,3.1578947368421053,0.001693570118522453,0.02781246134760081,0.03076055516092956,0.029251121647254342,5.0,63.294117647058826,60.05263157894737,53.63157894736842,30,0.8,0.5294117647058824,0.5263157894736842,0.5263157894736842,1,20,17,19,19,25728,26408,25564,23394,75,,4,,15,35,8,5,8,,73.45813399723315,,55.911937753367,62.80628601914802,54.57822383283556,62.645981137508414,61.872851661152566,,3781,,22080,50101,11738,4688,8706,101094,45,0.6
322,27.778829328353776,33.257907391405915,30.67367103724849,31.637819506151935,2,0.0033913158156703618,0.003993251461826979,0.006248883854235226,0.0027114894308995757,5.791666666666667,7.611111111111111,12.210526315789474,6.133333333333334,0.014833310196429373,0.02663990887285297,0.03449472003630329,0.03526832105695733,28.958333333333332,67.88888888888889,75.05263157894737,87.93333333333334,29,0.7916666666666666,0.4444444444444444,0.631578947368421,0.5333333333333333,2,24,18,19,15,28759,29671,28805,26341,76,,4,,42,11,14,5,,,71.10041640504039,,55.72536982033208,49.53277577436876,57.9211649137776,68.12235396938283,,,3679,,67255,15518,22248,4876,,113576,47,0.618421052631579
323,13.465395057692103,16.073779809872804,19.124180477394873,20.779182866088867,2,0.002765991044544542,0.0031003420396611982,0.00814658746136066,0.012456703268232828,4.285714285714286,4.9523809523809526,13.608695652173912,22.05,0.015386730511044534,0.020111385256712706,0.02070926757637322,0.03083459017092775,28.285714285714285,35.142857142857146,35.78260869565217,55.9,37,0.6666666666666666,0.6666666666666666,0.43478260869565216,0.5,2,21,21,23,20,26067,25738,26729,24372,85,,7,,43,11,19,5,,,52.94577835757761,,89.98468960466005,85.50856876054175,70.2978724667019,32.96185857317562,,,8694,,52676,12058,23338,6140,,102906,48,0.5647058823529412
320,17.07690599131077,20.617780812360305,19.72333527022513,18.29714448078548,2,0.005137163422430745,0.002482076625597359,0.0016008232648827394,0.0011045821314781875,9.80952380952381,4.666666666666667,4.384615384615385,2.8461538461538463,0.005008123712285019,0.005587280198378606,0.0007379709136448744,0.0,10.571428571428571,12.944444444444445,2.1538461538461537,0.0,25,0.8095238095238095,0.5,0.6923076923076923,0.38461538461538464,2,21,18,13,13,29047,28536,27834,25612,65,,4,,29,15,12,5,,,26.004859107806595,,62.246418982871745,64.38120595779299,46.91575728469854,32.602630960487375,,,6787,,45546,31442,19970,7284,,111029,40,0.6153846153846154
321,14.930423864390782,15.20929191848607,15.084012192134587,16.471578537191167,2,0.004660727804828524,0.004507809342431667,0.003528260282017732,0.003834985045211237,5.933333333333334,8.894736842105264,7.555555555555555,8.0,0.01384911353757217,0.019448246835977668,0.012979207790546324,0.012309819816567043,20.233333333333334,44.21052631578947,32.44444444444444,33.9375,34,0.6333333333333333,0.47368421052631576,0.6666666666666666,0.5625,2,30,19,18,16,29142,29705,30221,26537,83,,26,,9,7,32,9,,,60.77004857719686,,51.214742445314556,68.13715470942776,60.37497130774091,55.172356061117284,,,35129,,18351,8467,46253,7405,,115605,49,0.5903614457831325
326,14.957567717736204,15.454932282994516,16.93998031585531,16.861973728504896,2,0.002859828015543396,0.0037761741214314888,0.003159598063053664,0.002904297846094316,4.16,6.043478260869565,3.896551724137931,3.2758620689655173,0.013101100982627895,0.02018879132456214,0.01825888743000834,0.01674199008521263,20.64,32.43478260869565,23.344827586206897,20.79310344827586,44,0.64,0.5652173913043478,0.6896551724137931,0.4482758620689655,2,25,23,29,29,26861,26435,26182,24212,106,,9,,13,29,37,5,13,,65.09360510258585,,75.97676549922303,83.15175216771331,64.97151064627485,62.8573103453777,85.43304588553326,,9398,,12217,26418,41570,4616,9471,103690,62,0.5849056603773585
327,16.42897142198496,16.855418088362274,19.433859220758478,21.250342316360797,2,0.005199106633951511,0.004815629569779494,0.004639756786241464,0.005747037371554881,5.44,4.357142857142857,5.714285714285714,5.4,0.013356977150855385,0.015646060612563135,0.02639297084790926,0.025337532370435265,14.36,16.142857142857142,35.095238095238095,28.16,40,0.92,0.5,0.47619047619047616,0.48,1,25,28,21,25,19090,19333,19009,18255,99,,4,,5,51,4,5,30,,93.11243829311312,,93.89120717779238,87.83520055326676,96.52931906579579,73.17647132429161,93.07258385524955,,2738,,3964,40939,2762,3990,21294,75687,59,0.5959595959595959
324,24.06690029595626,29.594790473150077,30.571857303805725,27.88464387918502,2,0.004716288501527431,0.001581381846217126,0.0013233421673608857,0.0017129735682200197,8.75,3.0,2.4166666666666665,3.263157894736842,0.002868054464692043,0.0025143935929877203,0.00387436250361076,0.004939893817349773,5.166666666666667,4.269230769230769,7.833333333333333,10.052631578947368,37,0.7916666666666666,0.5769230769230769,0.5416666666666666,0.47368421052631576,2,24,26,24,19,29443,29741,29752,25435,93,,10,,20,33,21,5,4,,65.3338192922582,,83.51842495727755,76.95514482354994,68.36412231959747,43.97123138252999,83.21332574304435,,10478,,20245,46290,27536,6753,3069,114371,56,0.6021505376344086
