PId,averageAMPs_q1,averageAMPs_q2,averageAMPs_q3,averageAMPs_q4,group,hotkeysSetIntensity_q1,hotkeysSetIntensity_q2,hotkeysSetIntensity_q3,hotkeysSetIntensity_q4,hotkeysSet_q1,hotkeysSet_q2,hotkeysSet_q3,hotkeysSet_q4,hotkeysUseIntensity_q1,hotkeysUseIntensity_q2,hotkeysUseIntensity_q3,hotkeysUseIntensity_q4,hotkeysUse_q1,hotkeysUse_q2,hotkeysUse_q3,hotkeysUse_q4,lossCount,ratioWins_q1,ratioWins_q2,ratioWins_q3,ratioWins_q4,sex,totalMatches_q1,totalMatches_q2,totalMatches_q3,totalMatches_q4,totalTime_q1,totalTime_q2,totalTime_q3,totalTime_q4,trainingMatches,trainingMatchesLvl_Count_Cheater_1_Vision,trainingMatchesLvl_Count_Easy,trainingMatchesLvl_Count_Elite,trainingMatchesLvl_Count_Hard,trainingMatchesLvl_Count_Harder,trainingMatchesLvl_Count_Medium,trainingMatchesLvl_Count_Very_Easy,trainingMatchesLvl_Count_Very_Hard,trainingMatchesLvl_SQ_Cheater_1_Vision,trainingMatchesLvl_SQ_Easy,trainingMatchesLvl_SQ_Elite,trainingMatchesLvl_SQ_Hard,trainingMatchesLvl_SQ_Harder,trainingMatchesLvl_SQ_Medium,trainingMatchesLvl_SQ_Very_Easy,trainingMatchesLvl_SQ_Very_Hard,trainingMatchesLvl_Time_Cheater_1_Vision,trainingMatchesLvl_Time_Easy,trainingMatchesLvl_Time_Elite,trainingMatchesLvl_Time_Hard,trainingMatchesLvl_Time_Harder,trainingMatchesLvl_Time_Medium,trainingMatchesLvl_Time_Very_Easy,trainingMatchesLvl_Time_Very_Hard,trainingTime,winCount,winsRatio
3018,18.506895328861223,21.139868835118836,21.588931233401308,21.13973264136007,3,0.008789022150509246,0.007826716973628155,0.006345215885575455,0.00699669058763018,11.0,8.806451612903226,7.758620689655173,8.285714285714286,0.012823657243852055,0.016725018508816393,0.02004295875166024,0.01867780297388798,16.766666666666666,22.677419354838708,27.517241379310345,25.892857142857142,51,0.7666666666666667,0.5161290322580645,0.4827586206896552,0.5,1,30,31,29,28,26962,26849,27016,25439,118,,4,,38,62,9,5,,,78.58310645569546,,94.56120260500029,94.90208035570751,84.01309958245736,74.73062293357654,,,3865,,35464,54148,8410,4379,,106266,67,0.5677966101694916
3024,21.362625761666063,27.11049201311265,27.044690949561506,26.39459236219803,3,0.0044392464058968205,0.004977594639041384,0.004590389858275705,0.005087713603234559,7.043478260869565,6.84,5.290322580645161,5.225806451612903,0.015993931370953184,0.02051474894261075,0.023937145471068767,0.019424240604894585,25.956521739130434,30.72,29.612903225806452,22.806451612903224,46,0.7391304347826086,0.56,0.5806451612903226,0.4838709677419355,2,23,25,31,31,26669,26146,26410,24187,110,,7,,30,42,13,4,14,,58.05762045239834,,69.32082291434133,78.62473220357094,55.18563754946345,50.7795412875478,91.07890253483936,,7332,,29796,35444,15961,4210,10669,103412,64,0.5818181818181818
3023,19.782608695652062,,,,3,0.001207583625166043,,,,2.0,,,,0.015698587127158558,,,,26.0,,,,0,1.0,,,,1,1,,,,1183,,,,1,,,,,,,1,,,,,,,,20.920666459908347,,,,,,,,1183,,1183,1,1.0
3012,12.264113679590386,15.874198611321143,17.10916962174387,19.186371812145495,3,0.0034311163168916324,0.004828365964078729,0.004748865947541247,0.004940686080482525,6.333333333333333,7.083333333333333,6.826086956521739,7.0,0.011485279897324091,0.021582355684122822,0.025086042727578823,0.028875255095196017,23.19047619047619,35.791666666666664,41.869565217391305,42.416666666666664,39,0.7619047619047619,0.5,0.5652173913043478,0.5,2,21,24,23,24,27200,26938,26704,24125,92,,4,,36,11,34,6,1,,59.72607904045182,,76.61160426189755,80.35139950710311,66.69976656027936,53.559305832646515,77.93594598453905,,5341,,38732,9293,43372,7411,818,104967,53,0.5760869565217391
3013,47.369459006850974,24.169266365049875,27.646536541299454,29.245142664685492,3,0.0066002910238655696,0.006229033048419691,0.005626561305109751,0.0061171981573194915,9.148148148148149,8.321428571428571,9.25,10.894736842105264,0.015935773215951084,0.018223597533361065,0.01744677640395265,0.02123177061103912,25.62962962962963,30.035714285714285,31.166666666666668,43.89473684210526,40,0.7777777777777778,0.4642857142857143,0.5416666666666666,0.5789473684210527,2,27,28,24,19,27806,28145,28517,25913,98,,4,,38,42,8,6,,,89.44732444347872,,74.52780927132017,70.29542859021018,77.75755038840637,61.05990890492271,,,3668,,41701,52391,7230,5391,,110381,58,0.5918367346938775
3025,19.40855186275015,24.492676722014966,25.633300788920224,25.301638088916754,3,0.007994685613046646,0.008969382264879106,0.009771568157462095,0.007950940392152104,12.428571428571429,10.233333333333333,10.064516129032258,8.925925925925926,0.03440789279576717,0.04302161389120646,0.04531776938507627,0.04973326496926373,56.38095238095238,53.766666666666666,55.87096774193548,61.25925925925926,45,0.8095238095238095,0.5666666666666667,0.5483870967741935,0.48148148148148145,2,21,30,31,27,26830,26279,26081,23528,109,,5,,44,35,17,5,3,,79.39728763574129,,118.11237216930564,106.98912459161613,115.0468012066417,37.13252033927404,113.44804097443617,,6168,,41962,29625,15142,8637,1184,102718,64,0.5871559633027523
3011,23.542850197964928,25.582839270381545,29.141931295021298,34.43919626466565,3,0.012258727299699927,0.013126994803641472,0.013956508623457306,0.01481075571151921,22.363636363636363,20.76,25.416666666666668,26.333333333333332,0.022104580703530274,0.02803540841419284,0.037733548477770135,0.038911235860554456,44.59090909090909,55.48,87.16666666666667,78.72222222222223,35,0.5909090909090909,0.52,0.5,0.5555555555555556,2,22,25,12,18,27470,26345,26211,23808,77,,14,,16,1,38,8,,,54.555808913544126,,78.11415394786013,114.70393329992754,68.21839079843471,48.28284819282803,,,17413,,19542,559,56200,10120,,103834,42,0.5454545454545454
3016,19.003629783585474,26.291205953320695,29.628296449389563,30.775909768157458,3,0.014547194691479786,0.01430628960835841,0.0175690702130429,0.017600017301140913,14.928571428571429,18.25,16.6,17.571428571428573,0.028543386568651664,0.03631728214937333,0.03401756957931152,0.038075406727826985,30.071428571428573,47.75,34.666666666666664,37.214285714285715,22,0.8571428571428571,0.6666666666666666,0.4666666666666667,0.42857142857142855,2,14,12,15,14,10498,10431,10260,9735,55,,4,,33,1,12,5,,,83.05892873077343,,91.90512579915901,97.45330419492387,88.75493168490735,69.24790993749602,,,2687,,23858,1000,9660,3719,,40924,33,0.6
3017,17.25445456747305,22.547996600318452,24.37490188906693,26.49442518380641,3,0.003612046200090652,0.005256739176645744,0.005986610070085017,0.005410582360403451,5.782608695652174,7.333333333333333,7.392857142857143,7.695652173913044,0.028287056404159797,0.031949790015154474,0.0280934682770747,0.03276668965933277,49.95652173913044,52.75,40.535714285714285,50.47826086956522,41,0.7391304347826086,0.4583333333333333,0.6071428571428571,0.5217391304347826,2,23,24,28,23,26303,26470,26791,24764,98,,4,,31,16,40,6,1,,54.3699035715716,,89.59810202135264,101.19146593695265,72.53405238317237,43.405937169964574,108.35059554629836,,4277,,28052,16406,48794,6200,599,104328,57,0.5816326530612245
3014,27.31207277497695,38.11676748266956,97.652358957783,32.41850740585479,3,0.010635948983089913,0.00996281270275376,0.03169321149141211,0.008157257448998877,17.125,17.65,12.625,11.952380952380953,0.027196222304797985,0.0389687678088857,0.03208402529885022,0.037008563193971354,44.416666666666664,69.8,51.958333333333336,57.0,37,0.7083333333333334,0.5,0.5,0.6190476190476191,2,24,20,24,21,25879,25662,25850,22693,89,,26,,7,,51,5,,,74.95536673678475,,106.67914977692686,,77.01486533115511,50.735912880406914,,,26989,,7505,,60244,5346,,100084,52,0.5842696629213483
